line_1,line_2,line_3,source,line1_syllables,line2_syllables,line3_syllables,haiku
My dad about to, be so confused as to why,I'm here this early,twaiku,5,8,6,My dad about to  be so confused as to why I'm here this early
Someone explain to, me why the air in hays smells,like expired penis,twaiku,6,7,7,Someone explain to  me why the air in hays smells like expired penis
You could be reserved, and nice in this world and it,doesn't get you shit,twaiku,6,8,4,You could be reserved  and nice in this world and it doesn't get you shit
Social media, is just social media,nothing personal,twaiku,4,6,5,Social media  is just social media nothing personal
the only thing i'm, bringing to school are tampons,headphones and pizza,twaiku,5,8,6,the only thing i'm  bringing to school are tampons headphones and pizza
Lol I listen to, hood shit when I'm sad not that,sentimental shit,twaiku,5,7,5,Lol I listen to  hood shit when I'm sad not that sentimental shit
Fell asleep when I, got home to find your mother,broke in and cleaned up,twaiku,5,8,7,Fell asleep when I  got home to find your mother broke in and cleaned up
The moment our, powers fused together as,one that card was born,twaiku,4,8,6,The moment our  powers fused together as one that card was born
Go fuck yourself You're, the only one qualified,to anyway right,twaiku,6,8,5,Go fuck yourself You're  the only one qualified to anyway right
Look like a Tesco, phish started doing the rounds,Not seen it before,twaiku,6,6,6,Look like a Tesco  phish started doing the rounds Not seen it before
Need someone that loves, the way my legs look up on,their dash this summer,twaiku,7,7,5,Need someone that loves  the way my legs look up on their dash this summer
heat lightning,a beggar outside starbucks,shakes his cup at me,sballas,3,8,6,heat lightning a beggar outside starbucks shakes his cup at me
notes,_ strange edition  deep edition,_ feed an bodleian manuscript feed on editions,img2poems,2,9,12,notes _ strange edition  deep edition _ feed an bodleian manuscript feed on editions
the amount of times, i throw up a peace sign a,day is unhealthy,twaiku,6,8,5,the amount of times  i throw up a peace sign a day is unhealthy
When you messing with, a real one certain things you,don't have to ask for,twaiku,5,8,6,When you messing with  a real one certain things you don't have to ask for
I wish I didn't, suck at making friends because,I really want some,twaiku,4,8,6,I wish I didn't  suck at making friends because I really want some
Surrounded By This, F A K E Love That's Bad,B L O O D,twaiku,5,6,2,Surrounded By This  F A K E Love That's Bad B L O O D
and that voice still soundeth on,from the centuries that are gone,to the centuries that shall be,img2poems,8,10,8,and that voice still soundeth on from the centuries that are gone to the centuries that shall be
Cannon I bet the, voices in his head sound just,like President Trump,twaiku,5,7,6,Cannon I bet the  voices in his head sound just like President Trump
YES Who's going to, see Tim Burton's Dumbo with,me when it opens,twaiku,4,7,5,YES Who's going to  see Tim Burton's Dumbo with me when it opens
Big believer in, timing Stay the course and it,will all be alright,twaiku,5,8,5,Big believer in  timing Stay the course and it will all be alright
Socialism is, still making noise Watch your back,capitalism,twaiku,4,8,4,Socialism is  still making noise Watch your back capitalism
better yet the board, of elections is going,to give her ten votes,twaiku,5,6,7,better yet the board  of elections is going to give her ten votes
listen michael in, a surgical mask is a,concept i support,twaiku,5,7,5,listen michael in  a surgical mask is a concept i support
visions of fame,that once did visit me,making night glorious with your smile where are ye,img2poems,5,7,14,visions of fame that once did visit me making night glorious with your smile where are ye
They Hate You Because, They Want To BE YOU Just Don't,Let Them TAKE YOUR PLACE,twaiku,7,7,7,They Hate You Because  They Want To BE YOU Just Don't Let Them TAKE YOUR PLACE
Whoever made this, Snapchat update needs to be,smacked ASAP,twaiku,5,8,4,Whoever made this  Snapchat update needs to be smacked ASAP
A white butterfly, flies past the pure flowers and,lands on a green plant,twaiku,6,8,5,A white butterfly  flies past the pure flowers and lands on a green plant
a ridiculous, amount of plastic we don't,need to be using,twaiku,5,7,5,a ridiculous  amount of plastic we don't need to be using
Whenever I get, my hopes up someone always,has to crash them down,twaiku,5,9,5,Whenever I get  my hopes up someone always has to crash them down
all day long,the rhythmic beat,of melting ice,tempslibre,3,4,5,all day long the rhythmic beat of melting ice
I was enjoying, my ice cream so much that I,spilled some on my shirt,twaiku,4,8,7,I was enjoying  my ice cream so much that I spilled some on my shirt
i play dumb really, well but trust me i know all,about what you did,twaiku,5,7,5,i play dumb really  well but trust me i know all about what you did
Spiderman shoots webs, from his hands I'm just saying,I'm concerned that's all,twaiku,5,6,6,Spiderman shoots webs  from his hands I'm just saying I'm concerned that's all
Need a dope graphic, designer looking to get,paid TODAY TAGG EM,twaiku,6,7,5,Need a dope graphic  designer looking to get paid TODAY TAGG EM
oh fraud that cannot cheat the bee,almost thy plausibility,induces my belief,img2poems,8,8,6,oh fraud that cannot cheat the bee almost thy plausibility induces my belief
Been doing this thing, w him for awhile,now it feels so right,twaiku,4,5,5,Been doing this thing  w him for awhile now it feels so right
why was mark hamill, on a wedding episode,of big bang theory,twaiku,5,8,5,why was mark hamill  on a wedding episode of big bang theory
Louisiana, is so extra with that you're,going to jail shit,twaiku,3,8,4,Louisiana  is so extra with that you're going to jail shit
I get tired of, explaining something over,and over again,twaiku,5,8,5,I get tired of  explaining something over and over again
It's really cool to, see how bright the crescent moon,Venus look right now,twaiku,5,7,5,It's really cool to  see how bright the crescent moon Venus look right now
Hoes talkin crazy, like they wont get beat but I'm,not one to talk soo,twaiku,5,8,6,Hoes talkin crazy  like they wont get beat but I'm not one to talk soo
I can't find any, decently priced suvs,in the rogue valley,twaiku,5,6,6,I can't find any  decently priced suvs in the rogue valley
Jesus put a fence, around Team Steph Not so much,Team Lebron I see,twaiku,6,7,5,Jesus put a fence  around Team Steph Not so much Team Lebron I see
Anyway enough, about my cursed classmates I,am very tired,twaiku,5,9,5,Anyway enough  about my cursed classmates I am very tired
I'm out of wrapping, paper and tape Christmas is,canceled for me bye,twaiku,5,8,6,I'm out of wrapping  paper and tape Christmas is canceled for me bye
Tomorrow's never, promised only yesterday,is a guarantee,twaiku,5,8,5,Tomorrow's never  promised only yesterday is a guarantee
The sun,"might, if it were",well sloughed.,gutenberg,2,5,3,"The sun might, if it were well sloughed."
everyone better, put representative in,front of their names go,twaiku,6,8,6,everyone better  put representative in front of their names go
The browns kicker is, the worst player ever to,have played on the browns,twaiku,5,6,6,The browns kicker is  the worst player ever to have played on the browns
I love doing stuff, to my hair i haven't done,nothing in so long,twaiku,5,8,5,I love doing stuff  to my hair i haven't done nothing in so long
Remember when the, sign originally said,Blaine is a bottom,twaiku,5,7,6,Remember when the  sign originally said Blaine is a bottom
the day ashton will, call me darling will be the,day of my death lol,twaiku,5,7,5,the day ashton will  call me darling will be the day of my death lol
I forgot how good, of a song All of the Stars,by Ed Sheeran is,twaiku,5,7,5,I forgot how good  of a song All of the Stars by Ed Sheeran is
also kevin doan, so dam GORGEOUS like wow his,new hair color yes,twaiku,5,8,5,also kevin doan  so dam GORGEOUS like wow his new hair color yes
Jesus why am I, crying right now I knew I,would get screwed over,twaiku,5,6,6,Jesus why am I  crying right now I knew I would get screwed over
This year we eating, And our table has so,many plates on it,twaiku,5,6,6,This year we eating  And our table has so many plates on it
I should probably, get my shit together but,I'm just too lazy,twaiku,5,7,5,I should probably  get my shit together but I'm just too lazy
unhappy love,and i of that great host,unhappy love who cry unhappy most,img2poems,5,6,11,unhappy love and i of that great host unhappy love who cry unhappy most
Homer is driving, drunk and has collided with,a man scientist,twaiku,5,7,4,Homer is driving  drunk and has collided with a man scientist
It's crazy to me, I've never even been in,a airport before,twaiku,5,8,6,It's crazy to me  I've never even been in a airport before
full summer --,yellow leaves among the green,in the laurel,tempslibre,3,8,4,full summer -- yellow leaves among the green in the laurel
Seeing seniors posts, pictures makes me regret not,taking more pictures,twaiku,4,9,7,Seeing seniors posts  pictures makes me regret not taking more pictures
Man I be feeling, like a lil kid at toys r,us on his birthday,twaiku,5,7,5,Man I be feeling  like a lil kid at toys r us on his birthday
my dumbass cat is, apparently really set,on eating my phone,twaiku,5,7,6,my dumbass cat is  apparently really set on eating my phone
wind from an axe that struck wood,a hundred years ago,lifts the thin flags of the town,img2poems,8,6,7,wind from an axe that struck wood a hundred years ago lifts the thin flags of the town
I wonder where the, other elements are I,wanna see them soon,twaiku,6,8,5,I wonder where the  other elements are I wanna see them soon
He would clutch the wall With his bleeding,"fingers, if she should fall He could catch, and","hold her, and make her live!",gutenberg,9,10,8,"He would clutch the wall With his bleeding fingers, if she should fall He could catch, and hold her, and make her live!"
Saints vs Texans, That will be the super bowl,matchup Thank me now,twaiku,3,7,5,Saints vs Texans  That will be the super bowl matchup Thank me now
Tilted towers is, going to be gone later,today mark my word,twaiku,5,7,5,Tilted towers is  going to be gone later today mark my word
mother and daughter,each in her own thoughts,fireflies,sballas,5,5,3,mother and daughter each in her own thoughts fireflies
Happy late founders, day to our amazing,sing partners last year,twaiku,6,6,5,Happy late founders  day to our amazing sing partners last year
I honestly love, making new girl friends but some,of y'all some bitches,twaiku,6,8,7,I honestly love  making new girl friends but some of y'all some bitches
not all armies is, the equivalent of not,all men at this point,twaiku,5,7,5,not all armies is  the equivalent of not all men at this point
